V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:51:49
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	792,986
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
598	647,1	13,95
599	647,6	14
600	648,2	14,24
601	648,8	14,36
602	649,4	14,84
603	650	14,89
604	650,6	14,46
605	651,2	14,31
606	651,7	14,05
607	652,3	13,8
608	652,9	13,61
609	653,5	13,58
610	654,1	13,82
611	654,7	14,05
612	655,3	14,14
613	655,8	14,36
614	656,4	14,64
615	657	14,65
616	657,6	14,77
617	658,2	14,9
618	658,8	15,9
619	659,3	16,5
620	659,9	16,63
621	660,5	16,93
622	661,1	17,4
623	661,7	17,44
624	662,3	16,68
625	662,9	16,55
626	663,4	16,5
627	664	16,75
628	664,6	17,01
629	665,2	17,04
630	665,8	17,09
631	666,4	17,2
632	666,9	16,58
633	667,5	16,17
634	668,1	15,82
635	668,7	15,68
636	669,3	16,07
637	669,9	16,47
638	670,5	17,44
639	671	17,96
640	671,6	17,91
641	672,2	18,1
642	672,8	18,28
643	673,4	18,32
644	674	18,35
645	674,5	19,04
646	675,1	19,89
647	675,7	20,2
648	676,3	20,65
649	676,9	20,75
650	677,5	20,19
651	678,1	19,85
652	678,6	18,74
653	679,2	18,27
654	679,8	17,69
655	680,4	17,96
656	681	18,22
657	681,6	18,21
658	682,1	18,49
659	682,7	18,77
660	683,3	18,42
661	683,9	18,31
662	684,5	18,5
663	685,1	18,69
664	685,7	18,81
665	686,2	19,3
666	686,8	19,25
667	687,4	19,08
668	688	19,13
669	688,6	19,19
670	689,2	19,94
671	689,7	20,46
672	690,3	21,65
673	690,9	21,71
674	691,5	21,44
675	692,1	20,99
676	692,7	20,41
677	693,3	20,8
678	693,8	21,18
679	694,4	22,1
680	695	21,76
681	695,6	20,85
682	696,2	20,69
683	696,8	21,15
684	697,4	21,61
685	697,9	21,23
686	698,5	20,99
687	699,1	20,92
688	699,7	20,81
689	700,3	20,74
690	700,9	20,69
691	701,4	19,96
692	702	18,55
693	702,6	18,2
694	703,2	18,92
695	703,8	19,65
696	704,4	21,4
697	705	22,71
698	705,5	23,77
699	706,1	24,67
700	706,7	24,48
701	707,3	24,02
702	707,9	23,47
703	708,5	23,13
704	709	23,18
705	709,6	23,23
706	710,2	23,78
707	710,8	25,5
708	711,4	26,69
709	712	26,77
710	712,6	25,93
711	713,1	24,54
712	713,7	23,13
713	714,3	23,25
714	714,9	23,36
715	715,5	23,52
716	716,1	23,68
717	716,6	23,08
718	717,2	22,42
719	717,8	22,29
720	718,4	22,15
721	719	22,54
722	719,6	22,93
723	720,2	22,9
